SubjectCode,Experiment,Handiness,Trial_Number,MazeID,Lateralized,Side,Moves,Solution_RT,Obs_No,sVGC_Obs,dVGC_Obs,Orig_RandPos,Aware_ReportObs,Subj_RT,Time_Trial,toremove
S000,VGC_lat_behav,2,35,1,0,2,20,4.915755,5,1,0.872278,5,8,9.439365,23.910436,0
S000,VGC_lat_behav,2,35,1,0,2,20,4.915755,6,4.50E-05,0.007465,5,2,9.439365,23.910436,0
S000,VGC_lat_behav,2,36,13,0,1,18,4.916441,1,4.50E-05,0.009394,5,3,9.129792,23.674078,0
S000,VGC_lat_behav,2,36,13,0,1,18,4.916441,2,4.50E-05,0.011198,5,6,9.129792,23.674078,0
S000,VGC_lat_behav,2,36,13,0,1,18,4.916441,3,1,0.273298,5,6,9.129792,23.674078,0
S000,VGC_lat_behav,2,36,13,0,1,18,4.916441,4,1,0.446809,5,7,9.129792,23.674078,0
S000,VGC_lat_behav,2,36,13,0,1,18,4.916441,5,1,0.872278,5,7,9.129792,23.674078,0
S000,VGC_lat_behav,2,36,13,0,1,18,4.916441,6,4.50E-05,0.007465,5,3,9.129792,23.674078,0
S000,VGC_lat_behav,2,37,18,1,1,16,5.949172,1,0.993292,0.382299,5,7,8.870574,24.72722,0
S000,VGC_lat_behav,2,37,18,1,1,16,5.949172,2,1,0.294643,5,8,8.870574,24.72722,0
S000,VGC_lat_behav,2,37,18,1,1,16,5.949172,3,4.50E-05,0.011692,5,2,8.870574,24.72722,0
S000,VGC_lat_behav,2,37,18,1,1,16,5.949172,4,4.50E-05,0.011692,5,2,8.870574,24.72722,0
S000,VGC_lat_behav,2,37,18,1,1,16,5.949172,5,0.075783,0.294501,5,8,8.870574,24.72722,0
S000,VGC_lat_behav,2,37,18,1,1,16,5.949172,6,4.50E-05,0.012684,5,2,8.870574,24.72722,0
S000,VGC_lat_behav,2,38,12,0,1,18,5.434927,1,4.50E-05,0.011218,5,5,12.569914,27.610448,0
S000,VGC_lat_behav,2,38,12,0,1,18,5.434927,2,4.50E-05,0.013263,5,7,12.569914,27.610448,0
S000,VGC_lat_behav,2,38,12,0,1,18,5.434927,3,0.923994,0.596033,5,7,12.569914,27.610448,0
S000,VGC_lat_behav,2,38,12,0,1,18,5.434927,4,4.50E-05,0.01097,5,2,12.569914,27.610448,0
S000,VGC_lat_behav,2,38,12,0,1,18,5.434927,5,0.006688,0.116889,5,2,12.569914,27.610448,0
S000,VGC_lat_behav,2,38,12,0,1,18,5.434927,6,1,0.316083,5,6,12.569914,27.610448,0
S000,VGC_lat_behav,2,39,3,0,2,15,3.999229,1,1,0.206502,5,7,12.86708,26.343212,0
S000,VGC_lat_behav,2,39,3,0,2,15,3.999229,2,4.50E-05,0.009241,5,3,12.86708,26.343212,0
S000,VGC_lat_behav,2,39,3,0,2,15,3.999229,3,4.50E-05,0.011435,5,4,12.86708,26.343212,0
S000,VGC_lat_behav,2,39,3,0,2,15,3.999229,4,0.924007,0.5731,5,7,12.86708,26.343212,0
