"","name","obs1","obs2","distance"
"649","grid-006-n",0,0,0
"650","grid-006-n",0,1,5
"651","grid-006-n",0,2,7
"652","grid-006-n",0,3,4
"653","grid-006-n",0,4,2
"654","grid-006-n",0,5,8
"655","grid-006-n",1,0,5
"656","grid-006-n",1,1,0
"657","grid-006-n",1,2,8
"658","grid-006-n",1,3,9
"659","grid-006-n",1,4,8
"660","grid-006-n",1,5,5
"661","grid-006-n",2,0,7
"662","grid-006-n",2,1,8
"663","grid-006-n",2,2,0
"664","grid-006-n",2,3,3
"665","grid-006-n",2,4,9
"666","grid-006-n",2,5,2
"667","grid-006-n",3,0,4
"668","grid-006-n",3,1,9
"669","grid-006-n",3,2,3
"670","grid-006-n",3,3,0
"671","grid-006-n",3,4,4
"672","grid-006-n",3,5,4
"673","grid-006-n",4,0,2
"674","grid-006-n",4,1,8
"675","grid-006-n",4,2,9
"676","grid-006-n",4,3,4
"677","grid-006-n",4,4,0
"678","grid-006-n",4,5,10
"679","grid-006-n",5,0,8
"680","grid-006-n",5,1,5
"681","grid-006-n",5,2,2
"682","grid-006-n",5,3,4
"683","grid-006-n",5,4,10
"684","grid-006-n",5,5,0
"685","grid-007-n",0,0,0
"686","grid-007-n",0,1,11
"687","grid-007-n",0,2,7
"688","grid-007-n",0,3,3
"689","grid-007-n",0,4,3
"690","grid-007-n",0,5,8
"691","grid-007-n",1,0,11
"692","grid-007-n",1,1,0
"693","grid-007-n",1,2,5
"694","grid-007-n",1,3,8
"695","grid-007-n",1,4,10
"696","grid-007-n",1,5,4
"697","grid-007-n",2,0,7
"698","grid-007-n",2,1,5
"699","grid-007-n",2,2,0
"700","grid-007-n",2,3,12
"701","grid-007-n",2,4,3
"702","grid-007-n",2,5,8
"703","grid-007-n",3,0,3
"704","grid-007-n",3,1,8
"705","grid-007-n",3,2,12
"706","grid-007-n",3,3,0
"707","grid-007-n",3,4,8
"708","grid-007-n",3,5,3
"709","grid-007-n",4,0,3
"710","grid-007-n",4,1,10
"711","grid-007-n",4,2,3
"712","grid-007-n",4,3,8
"713","grid-007-n",4,4,0
"714","grid-007-n",4,5,7
"715","grid-007-n",5,0,8
"716","grid-007-n",5,1,4
"717","grid-007-n",5,2,8
"718","grid-007-n",5,3,3
"719","grid-007-n",5,4,7
"720","grid-007-n",5,5,0
"721","grid-008-n",0,0,0
"722","grid-008-n",0,1,4
"723","grid-008-n",0,2,8
"724","grid-008-n",0,3,7
"725","grid-008-n",0,4,3
"726","grid-008-n",0,5,6
"727","grid-008-n",1,0,4
"728","grid-008-n",1,1,0
"729","grid-008-n",1,2,3
"730","grid-008-n",1,3,11
"731","grid-008-n",1,4,8
"732","grid-008-n",1,5,8
"733","grid-008-n",2,0,8
"734","grid-008-n",2,1,3
"735","grid-008-n",2,2,0
"736","grid-008-n",2,3,6
"737","grid-008-n",2,4,11
"738","grid-008-n",2,5,3
"739","grid-008-n",3,0,7
"740","grid-008-n",3,1,11
"741","grid-008-n",3,2,6
"742","grid-008-n",3,3,0
"743","grid-008-n",3,4,6
"744","grid-008-n",3,5,2
"745","grid-008-n",4,0,3
"746","grid-008-n",4,1,8
"747","grid-008-n",4,2,11
"748","grid-008-n",4,3,6
"749","grid-008-n",4,4,0
"750","grid-008-n",4,5,9
"751","grid-008-n",5,0,6
"752","grid-008-n",5,1,8
"753","grid-008-n",5,2,3
"754","grid-008-n",5,3,2
"755","grid-008-n",5,4,9
"756","grid-008-n",5,5,0
"757","grid-009-n",0,0,0
"758","grid-009-n",0,1,4
"759","grid-009-n",0,2,10
"760","grid-009-n",0,3,6
"761","grid-009-n",0,4,2
"762","grid-009-n",0,5,5
"763","grid-009-n",1,0,4
"764","grid-009-n",1,1,0
"765","grid-009-n",1,2,7
"766","grid-009-n",1,3,11
"767","grid-009-n",1,4,8
"768","grid-009-n",1,5,5
"769","grid-009-n",2,0,10
"770","grid-009-n",2,1,7
"771","grid-009-n",2,2,0
"772","grid-009-n",2,3,6
"773","grid-009-n",2,4,13
"774","grid-009-n",2,5,3
"775","grid-009-n",3,0,6
"776","grid-009-n",3,1,11
"777","grid-009-n",3,2,6
"778","grid-009-n",3,3,0
"779","grid-009-n",3,4,5
"780","grid-009-n",3,5,4
"781","grid-009-n",4,0,2
"782","grid-009-n",4,1,8
"783","grid-009-n",4,2,13
"784","grid-009-n",4,3,5
"785","grid-009-n",4,4,0
"786","grid-009-n",4,5,8
"787","grid-009-n",5,0,5
"788","grid-009-n",5,1,5
"789","grid-009-n",5,2,3
"790","grid-009-n",5,3,4
"791","grid-009-n",5,4,8
"792","grid-009-n",5,5,0
"793","grid-010-n",0,0,0
"794","grid-010-n",0,1,9
"795","grid-010-n",0,2,10
"796","grid-010-n",0,3,5
"797","grid-010-n",0,4,3
"798","grid-010-n",0,5,3
"799","grid-010-n",1,0,9
"800","grid-010-n",1,1,0
"801","grid-010-n",1,2,2
"802","grid-010-n",1,3,8
"803","grid-010-n",1,4,5
"804","grid-010-n",1,5,8
"805","grid-010-n",2,0,10
"806","grid-010-n",2,1,2
"807","grid-010-n",2,2,0
"808","grid-010-n",2,3,5
"809","grid-010-n",2,4,6
"810","grid-010-n",2,5,7
"811","grid-010-n",3,0,5
"812","grid-010-n",3,1,8
"813","grid-010-n",3,2,5
"814","grid-010-n",3,3,0
"815","grid-010-n",3,4,10
"816","grid-010-n",3,5,2
"817","grid-010-n",4,0,3
"818","grid-010-n",4,1,5
"819","grid-010-n",4,2,6
"820","grid-010-n",4,3,10
"821","grid-010-n",4,4,0
"822","grid-010-n",4,5,9
"823","grid-010-n",5,0,3
"824","grid-010-n",5,1,8
"825","grid-010-n",5,2,7
"826","grid-010-n",5,3,2
"827","grid-010-n",5,4,9
"828","grid-010-n",5,5,0
"829","grid-011-n",0,0,0
"830","grid-011-n",0,1,9
"831","grid-011-n",0,2,10
"832","grid-011-n",0,3,7
"833","grid-011-n",0,4,4
"834","grid-011-n",0,5,3
"835","grid-011-n",1,0,9
"836","grid-011-n",1,1,0
"837","grid-011-n",1,2,3
"838","grid-011-n",1,3,9
"839","grid-011-n",1,4,4
"840","grid-011-n",1,5,8
"841","grid-011-n",2,0,10
"842","grid-011-n",2,1,3
"843","grid-011-n",2,2,0
"844","grid-011-n",2,3,5
"845","grid-011-n",2,4,6
"846","grid-011-n",2,5,8
"847","grid-011-n",3,0,7
"848","grid-011-n",3,1,9
"849","grid-011-n",3,2,5
"850","grid-011-n",3,3,0
"851","grid-011-n",3,4,12
"852","grid-011-n",3,5,3
"853","grid-011-n",4,0,4
"854","grid-011-n",4,1,4
"855","grid-011-n",4,2,6
"856","grid-011-n",4,3,12
"857","grid-011-n",4,4,0
"858","grid-011-n",4,5,9
"859","grid-011-n",5,0,3
"860","grid-011-n",5,1,8
"861","grid-011-n",5,2,8
"862","grid-011-n",5,3,3
"863","grid-011-n",5,4,9
"864","grid-011-n",5,5,0
