,grid,obstacle,side,Quad,goal_dist,start_dist,wall_dist,center_dist,lateralized,dVGC,Moves,sVGC,heu_graph,heu_sr,heu_traj,new_sVGC,new_dVGC,spotlightsVGC,VORsVGC
128,grid-009-n,obs-2,R,L,4,10,5,7,0,0.008320021,16,4.54E-05,0,0,0,0.5000227,0.401524228,8.57E-06,0.001230123
129,grid-009-n,obs-3,R,U,8,3,2,4,0,0.340854633,16,1,0.69,0,1.225,1,0.340854633,1,1
130,grid-009-n,obs-4,L,U,10,3,4,6,0,0.008785942,16,4.54E-05,0.54,0,5.169,0.5000227,0.142505325,0.000240309,0.034395214
131,grid-009-n,obs-5,R,L,2,5,1,2,0,0.794728435,16,1,3.56,0,3.944,0.75001135,0.484657881,1,1
132,grid-010-n,obs-0,L,U,8,6,4,6,0,0.109512761,18,0.006687203,1.84,0.187501875,7.166,0.253354952,0.089950696,0.015246578,0.68103606
133,grid-010-n,obs-1,R,NaN,12,3,1,3,0,0.12012761,18,1,1.36,0.500005,6.91,0.5000227,0.065632251,1,1
134,grid-010-n,obs-2,R,L,8,4,2,4,0,0.011136891,18,4.54E-05,0,0.687506875,0,0.5000227,0.065632251,0.000544771,0.026971639
135,grid-010-n,obs-3,L,L,1,9,3,5,0,0.308758701,18,1,3,0.688483447,7.518,1,0.219431555,1,1
136,grid-010-n,obs-4,R,U,14,2,3,5,0,0.010672854,18,4.54E-05,0,0,0,0.003366302,0.060092808,3.95E-07,0.000638759
137,grid-010-n,obs-5,L,L,4,8,3,5,0,0.130104408,18,1,0.12,0,0,0.751671801,0.16962007,1,1
138,grid-011-n,obs-0,L,U,9,1,3,5,0,0.011217849,17,4.54E-05,0.56,0,8.957,0.5000227,0.163650449,1.39E-11,2.06E-09
139,grid-011-n,obs-1,R,L,7,10,3,5,0,0.013263093,17,4.54E-05,0,0,0,0.232692984,0.184862101,5.20E-17,2.32E-12
140,grid-011-n,obs-2,R,L,3,11,3,5,0,0.596033468,17,0.923993633,1.78,0,1.263,0.462019517,0.304648281,7.77E-15,1.71E-10
141,grid-011-n,obs-3,L,L,2,6,4,6,0,0.010969941,17,4.54E-05,0,0.687506875,0,0.5000227,0.163526495,1.39E-11,2.23E-09
142,grid-011-n,obs-4,R,U,10,6,4,6,0,0.116888751,17,0.006687503,0,0,0,0.003366452,0.065075922,3.01E-18,1.26E-12
143,grid-011-n,obs-5,L,NaN,7,3,1,3,0,0.316083049,17,1,4,1.00001,27.983,0.5000227,0.163588472,1,1
